Programming,Scripting,Big Data,Analytics,Hardware,Others
C / C++,Python,Spark / Hadoop,R,PCIe,GNU Toolchain
Java / Scala,Perl,Hive,SQL,Verilog,"AWS (EC2, EMR)"

