"Time","Time.1","TemperatureF","DewpointF","PressureIn","WindDirection","WindDirectionDegrees","WindSpeedMPH","WindSpeedGustMPH","Humidity","HourlyPrecipIn","Conditions","Clouds","dailyrainin","SolarRadiationWatts_m_2","SoftwareType","DateUTC"
2016-10-29 19:03:00,"2016-10-29 19:03:00",80.5,77,29.89,"North",10,14,17,89,0,NA,NA,0.02,0,"Wunderground v.1.15","2016-10-30 00:03:00"
2016-10-29 19:33:00,"2016-10-29 19:33:00",80.2,77.7,29.9,"North",9,12,15,92,0,NA,NA,0.02,0,"Wunderground v.1.15","2016-10-30 00:33:00"
2016-10-29 20:08:00,"2016-10-29 20:08:00",80.3,77.4,29.91,"North",5,14,16,91,0,NA,NA,0.02,0,"Wunderground v.1.15","2016-10-30 01:08:00"
2016-10-29 20:32:00,"2016-10-29 20:32:00",80.4,77.2,29.92,"NNE",19,14,15,90,0,NA,NA,0.02,0,"Wunderground v.1.15","2016-10-30 01:32:00"
2016-10-29 21:03:00,"2016-10-29 21:03:00",80.2,77,29.93,"NNE",24,15,15,90,0,NA,NA,0.02,0,"Wunderground v.1.15","2016-10-30 02:03:00"
2016-10-29 21:33:00,"2016-10-29 21:33:00",80.2,77,29.94,"NE",35,15,17,90,0,NA,NA,0.02,0,"Wunderground v.1.15","2016-10-30 02:33:00"
2016-10-29 22:03:00,"2016-10-29 22:03:00",80.1,76.9,29.94,"ENE",58,12,13,90,0,NA,NA,0.02,0,"Wunderground v.1.15","2016-10-30 03:03:00"
