"Time","Time.1","TemperatureF","DewpointF","PressureIn","WindDirection","WindDirectionDegrees","WindSpeedMPH","WindSpeedGustMPH","Humidity","HourlyPrecipIn","Conditions","Clouds","dailyrainin","SolarRadiationWatts_m_2","SoftwareType","DateUTC"
2016-03-13 00:00:00,"2016-03-13 00:00:00",71.3,69.5,29.94,"SE",135,5,-999,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-03-13 06:00:00"
2016-03-13 00:30:00,"2016-03-13 00:30:00",71.1,69.3,29.93,"SE",135,4,-999,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-03-13 06:30:00"
2016-03-13 01:00:00,"2016-03-13 01:00:00",71,69.2,29.92,"SE",135,7,-999,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-03-13 07:00:00"
2016-03-13 01:30:00,"2016-03-13 01:30:00",70.9,69.1,29.92,"SE",135,7,-999,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-03-13 07:30:00"
2016-03-13 01:00:00,"2016-03-13 02:00:00",70.8,69,29.92,"SSE",158,5,-999,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-03-13 08:00:00"
2016-03-13 01:30:00,"2016-03-13 02:30:00",70.8,69,29.92,"SSE",158,6,-999,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-03-13 08:30:00"
2016-03-13 03:00:00,"2016-03-13 03:00:00",70.8,69,29.92,"SSE",158,6,-999,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-03-13 09:00:00"
2016-03-13 03:30:00,"2016-03-13 03:30:00",70.4,68.6,29.91,"SSE",158,6,-999,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-03-13 09:30:00"
2016-03-13 04:00:00,"2016-03-13 04:00:00",70.2,68.4,29.9,"SE",135,6,-999,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-03-13 10:00:00"
