"Time","Time.1","TemperatureF","DewpointF","PressureIn","WindDirection","WindDirectionDegrees","WindSpeedMPH","WindSpeedGustMPH","Humidity","HourlyPrecipIn","Conditions","Clouds","dailyrainin","SolarRadiationWatts_m_2","SoftwareType","DateUTC"
2016-04-03 00:09:00,"2016-04-03 00:09:00",77.5,75.3,29.96,"NE",34,19,22,93,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 06:09:00"
2016-04-03 00:33:00,"2016-04-03 00:33:00",77.6,75.4,29.96,"NNE",13,20,20,93,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 06:33:00"
2016-04-03 01:04:00,"2016-04-03 01:04:00",77.5,75.3,29.95,"North",10,21,24,93,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 07:04:00"
2016-04-03 01:34:00,"2016-04-03 01:34:00",77.3,75.4,29.93,"North",5,23,24,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 07:34:00"
2016-04-03 01:58:00,"2016-04-03 01:58:00",77.1,74.9,29.93,"NNE",19,22,22,93,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 07:58:00"
2016-04-03 03:08:00,"2016-04-03 03:08:00",77,74.8,29.93,"NE",37,23,30,93,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 08:08:00"
2016-04-03 03:28:00,"2016-04-03 03:28:00",77.1,74.9,29.93,"North",5,23,29,93,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 08:28:00"
2016-04-03 03:59:00,"2016-04-03 03:59:00",77,74.8,29.94,"North",11,24,29,93,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 08:59:00"
2016-04-03 04:34:00,"2016-04-03 04:34:00",76.3,73.8,29.94,"North",11,26,31,92,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 09:34:00"
