"Time","Time.1","TemperatureF","DewpointF","PressureIn","WindDirection","WindDirectionDegrees","WindSpeedMPH","WindSpeedGustMPH","Humidity","HourlyPrecipIn","Conditions","Clouds","dailyrainin","SolarRadiationWatts_m_2","SoftwareType","DateUTC"
2016-04-02 18:09:00,"2016-04-02 18:09:00",80.5,77.6,29.86,"NNW",348,14,17,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 00:09:00"
2016-04-02 18:33:00,"2016-04-02 18:33:00",79.9,77,29.87,"North",360,20,22,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 00:33:00"
2016-04-02 19:08:00,"2016-04-02 19:08:00",79.3,76.4,29.89,"North",5,19,22,91,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 01:08:00"
2016-04-02 19:33:00,"2016-04-02 19:33:00",78.1,75.9,29.93,"North",5,26,27,93,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 01:33:00"
2016-04-02 19:59:00,"2016-04-02 19:59:00",78,76.1,29.94,"NNE",13,23,24,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 01:59:00"
2016-04-02 20:09:00,"2016-04-02 20:09:00",77.8,75.9,29.95,"NNE",24,23,24,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 02:09:00"
2016-04-02 20:28:00,"2016-04-02 20:28:00",78,76.1,29.96,"NE",35,23,24,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 02:28:00"
2016-04-02 20:59:00,"2016-04-02 20:59:00",77.8,75.9,29.98,"NE",46,22,25,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 02:59:00"
2016-04-02 21:09:00,"2016-04-02 21:09:00",77.7,75.8,29.98,"NE",34,22,25,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 03:09:00"
2016-04-02 21:39:00,"2016-04-02 21:39:00",78,76.1,29.99,"NNE",32,21,21,94,0,NA,NA,0,0,"Wunderground v.1.15","2016-04-03 03:39:00"
