"Time","Time.1","TemperatureF","DewpointF","PressureIn","WindDirection","WindDirectionDegrees","WindSpeedMPH","WindSpeedGustMPH","Humidity","HourlyPrecipIn","Conditions","Clouds","dailyrainin","SolarRadiationWatts_m_2","SoftwareType","DateUTC"
2016-11-06 00:03:00,"2016-11-06 00:03:00",74.5,68.6,30.05,"ESE",112,3,4,82,0,NA,NA,0,0,"Wunderground v.1.15","2016-11-06 06:03:00"
2016-11-06 00:27:00,"2016-11-06 00:27:00",74.1,68.6,30.04,"ESE",102,3,3,83,0,NA,NA,0,0,"Wunderground v.1.15","2016-11-06 06:27:00"
2016-11-06 01:03:00,"2016-11-06 01:03:00",73.6,68.1,30.03,"East",97,3,3,83,0,NA,NA,0,0,"Wunderground v.1.15","2016-11-06 07:03:00"
2016-11-06 01:28:00,"2016-11-06 01:28:00",73.4,68.3,30.02,"ESE",114,3,3,84,0,NA,NA,0,0,"Wunderground v.1.15","2016-11-06 07:28:00"
2016-11-06 01:58:00,"2016-11-06 01:58:00",73.2,68.1,30.02,"East",100,2,2,84,0,NA,NA,0,0,"Wunderground v.1.15","2016-11-06 07:58:00"
2016-11-06 02:07:00,"2016-11-06 02:07:00",73.1,68,30.01,"ESE",107,2,3,84,0,NA,NA,0,0,"Wunderground v.1.15","2016-11-06 08:07:00"
2016-11-06 02:32:00,"2016-11-06 02:32:00",73,67.9,30.01,"ESE",107,1,1,84,0,NA,NA,0,0,"Wunderground v.1.15","2016-11-06 08:32:00"
2016-11-06 03:02:00,"2016-11-06 03:02:00",72.6,67.5,30,"ESE",109,1,3,84,0,NA,NA,0,0,"Wunderground v.1.15","2016-11-06 09:02:00"
2016-11-06 03:32:00,"2016-11-06 03:32:00",72.4,67.6,30,"ESE",118,4,5,85,0,NA,NA,0,0,"Wunderground v.1.15","2016-11-06 09:32:00"
