Purge Empty
Purging file ./dailyHistory/IYUCATNT2/2012/07/IYUCATNT2-2012-07-11.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/07/IYUCATNT2-2012-07-17.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-18.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-19.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-20.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-21.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-22.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-23.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-24.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-25.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-26.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-27.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-28.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-29.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/09/IYUCATNT2-2012-09-30.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/10/IYUCATNT2-2012-10-01.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/10/IYUCATNT2-2012-10-02.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/10/IYUCATNT2-2012-10-03.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/10/IYUCATNT2-2012-10-04.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/10/IYUCATNT2-2012-10-11.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/11/IYUCATNT2-2012-11-14.csv number of rows less than 90, actual 87
Purging file ./dailyHistory/IYUCATNT2/2012/11/IYUCATNT2-2012-11-15.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/11/IYUCATNT2-2012-11-16.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/11/IYUCATNT2-2012-11-17.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/11/IYUCATNT2-2012-11-18.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/11/IYUCATNT2-2012-11-29.csv number of rows less than 90, actual 82
Purging file ./dailyHistory/IYUCATNT2/2012/12/IYUCATNT2-2012-12-08.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/12/IYUCATNT2-2012-12-09.csv number of rows less than 90, actual 1
Purging file ./dailyHistory/IYUCATNT2/2012/12/IYUCATNT2-2012-12-10.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/12/IYUCATNT2-2012-12-11.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/12/IYUCATNT2-2012-12-12.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2012/12/IYUCATNT2-2012-12-13.csv number of rows less than 90, actual 78
Purging file ./dailyHistory/IYUCATNT2/2013/03/IYUCATNT2-2013-03-02.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2013/03/IYUCATNT2-2013-03-06.csv number of rows less than 90, actual 75
Purging file ./dailyHistory/IYUCATNT2/2013/03/IYUCATNT2-2013-03-14.csv number of columns is not 16, actual 15
Purging file ./dailyHistory/IYUCATNT2/2013/03/IYUCATNT2-2013-03-15.csv number of columns is not 16, actual 15
Purging file ./dailyHistory/IYUCATNT2/2013/04/IYUCATNT2-2013-04-21.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2013/04/IYUCATNT2-2013-04-29.csv number of rows less than 90, actual 71
Purging file ./dailyHistory/IYUCATNT2/2013/04/IYUCATNT2-2013-04-30.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2013/05/IYUCATNT2-2013-05-23.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2013/07/IYUCATNT2-2013-07-31.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2013/08/IYUCATNT2-2013-08-01.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2013/08/IYUCATNT2-2013-08-02.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2013/08/IYUCATNT2-2013-08-03.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2013/08/IYUCATNT2-2013-08-04.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2013/08/IYUCATNT2-2013-08-13.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2013/08/IYUCATNT2-2013-08-25.csv number of rows less than 90, actual 26
Purging file ./dailyHistory/IYUCATNT2/2013/09/IYUCATNT2-2013-09-03.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2013/09/IYUCATNT2-2013-09-04.csv number of rows less than 90, actual 37
Purging file ./dailyHistory/IYUCATNT2/2014/01/IYUCATNT2-2014-01-07.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2014/01/IYUCATNT2-2014-01-14.csv number of rows less than 90, actual 6
Purging file ./dailyHistory/IYUCATNT2/2014/05/IYUCATNT2-2014-05-19.csv number of rows less than 90, actual 56
Purging file ./dailyHistory/IYUCATNT2/2014/10/IYUCATNT2-2014-10-24.csv number of rows less than 90, actual 12
Purging file ./dailyHistory/IYUCATNT2/2014/11/IYUCATNT2-2014-11-14.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2015/04/IYUCATNT2-2015-04-03.csv number of rows less than 90, actual 82
Purging file ./dailyHistory/IYUCATNT2/2015/05/IYUCATNT2-2015-05-02.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2015/05/IYUCATNT2-2015-05-23.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2015/05/IYUCATNT2-2015-05-24.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2015/06/IYUCATNT2-2015-06-27.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2015/06/IYUCATNT2-2015-06-28.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2015/06/IYUCATNT2-2015-06-29.csv number of rows less than 90, actual 88
WARNING: File ./dailyHistory/IYUCATNT2/2016/01/IYUCATNT2-2016-01-01.csv is not available
Purging file ./dailyHistory/IYUCATNT2/2016/01/IYUCATNT2-2016-01-03.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/01/IYUCATNT2-2016-01-06.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/01/IYUCATNT2-2016-01-08.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/01/IYUCATNT2-2016-01-09.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/01/IYUCATNT2-2016-01-13.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/01/IYUCATNT2-2016-01-16.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/03/IYUCATNT2-2016-03-19.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/03/IYUCATNT2-2016-03-21.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/03/IYUCATNT2-2016-03-26.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/03/IYUCATNT2-2016-03-30.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/03/IYUCATNT2-2016-03-31.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/06/IYUCATNT2-2016-06-05.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/06/IYUCATNT2-2016-06-06.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/06/IYUCATNT2-2016-06-08.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/06/IYUCATNT2-2016-06-09.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/06/IYUCATNT2-2016-06-10.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/06/IYUCATNT2-2016-06-13.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/06/IYUCATNT2-2016-06-20.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/07/IYUCATNT2-2016-07-26.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/08/IYUCATNT2-2016-08-21.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/08/IYUCATNT2-2016-08-27.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/11/IYUCATNT2-2016-11-03.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/11/IYUCATNT2-2016-11-06.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/11/IYUCATNT2-2016-11-14.csv number of rows less than 90, actual 0
Purging file ./dailyHistory/IYUCATNT2/2016/12/IYUCATNT2-2016-12-24.csv number of rows less than 90, actual 89
